poolID,liquidity,liquidity24hChange,asset0Symbol,asset0Denom,asset0Amount,asset0gecko,asset1Symbol,asset1Denom,asset1Amount,asset1gecko,volume24h,volume7d,fee
719,13189.864161806394,-0.9470620849572425,XPRT,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,23763.175812,persistence,USDC.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,3945.46785,usd-coin,52.482387677938036,912.7042216301121,0.3%
722,764905.952438632,-3.0720763347981217,EVMOS,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,4367326.732436312,evmos,OSMO,uosmo,292552.419163,osmosis,108980.08771169475,927464.2045718661,0.2%
725,1065490.123533346,-5.062858931885137,INJ,ibc/64BA6E31FE887D66C6F8F31C7B1A80C7CA179239677B4088BB55F5EA07DBE273,14918.802337550094,injective-protocol,OSMO,uosmo,408171.191581,osmosis,191453.9114598267,2076902.0161645587,0.2%
726,15833.682949085456,-3.515350651411616,LUNA,ibc/785AFEC6B3741100D15E7AF01374E3C4C36F24888E96479B1C33F5C71F364EF9,8638.8855,terra-luna-2,OSMO,uosmo,6055.902237,osmosis,1164.7527894391096,16535.70627296591,0.2%
730,14540.34656761225,-4.264144461196747,KAVA,ibc/57AA1A70A4BC9769C525EBF6386F7A21536E04A79D62E1981EFCEF9428EBB205,7888.837187,kava,OSMO,uosmo,5561.240407,osmosis,789.325410098771,7927.018243482325,0.2%
731,8356.025202453286,6.000816055313027,LINK,ibc/D3327A763C23F01EC43D1F0DB3CEFEC390C362569B6FD191F40A5192F8960049,237.79152947128617,chainlink,OSMO,uosmo,3195.925571,osmosis,398.2665419581764,19472.71994106885,0.2%
732,27081.60945254263,-6.406291546720479,L1,ibc/F16FDC11A7662B86BC0B9CE61871CBACF7C20606F95E86260FD38915184B75B4,562739.4592574075,,OSMO,uosmo,10358.001745,osmosis,386.618190191572,1829.5114009627414,0.2%
744,275120.0889918673,-6.421458580103103,KUJI,ibc/BB6BCDB515050BAE97516111873CCD7BCF1FD0CCB723CC12F3C4F704D6C646CE,45439.052789,,OSMO,uosmo,105240.65924,osmosis,94125.58771119098,856324.3595839754,0.2%
747,3572.5999206556635,-3.825878341370038,ECH,ibc/49C2B2C444B7C5F0066657A4DBF19D676E0D185FF721CFD3E14FA253BCB9BC04,6626908.060896477,echelon,OSMO,uosmo,1367.678607,osmosis,0,3.0621458061743008,0.2%
751,8980.997723400316,-4.352538044944035,BTSG,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,644197.716956,bitsong,CLAY,ibc/7ABF696369EFB3387DF22B6A24204459FE5EFD010220E8E5618DC49DB877047B,7489801.672171,,0,0,0.3%
